CD_MUN;NM_MUN;nitrogen_m;nitrogen_s;clay_mean;clay_sd;cec_mean;cec_sd;sand_mean;sand_sd;ph_mean;ph_sd;soc_mean;soc_sd
3500105;Adamantina;1025.84;35;326.35;22.64;87.66;6.03;533.46;28.26;56.39;0.55;99.27;6.04
3500204;Adolfo;1039.82;70;311.83;16.43;82.87;5.87;494.18;21.06;56.44;0.6;125.64;32.72
3500303;Aguaí;1115.72;68;427.71;21.69;100.46;13.75;404.41;21.11;53.76;0.44;127.49;9.34
3500402;Águas da Prata;1719.05;182;383.09;18.64;103.76;9.94;349.26;27.82;52.23;0.39;193.08;36.81
3500501;Águas de Lindóia;1516.15;108;425.41;16.71;96.98;7.2;387.71;9.9;52.84;0.54;163.91;17.69
3500550;Águas de Santa Bárbara;1212.11;42;376.44;18.56;95.42;9.51;424.71;22.72;54.42;0.57;140.07;12.49
3500600;Águas de São Pedro;1132.33;37;433.56;7.87;87.89;1.61;423.33;6.13;53.33;0.14;132.5;6.76
3500709;Agudos;1192.21;74;370.22;14.32;96.07;13.04;461.74;20.79;54.64;0.58;137.98;13.31
3500758;Alambari;1301.33;64;382.76;12.18;111.29;11.42;473.35;16.13;53.55;0.83;149.77;11.46
3500808;Alfredo Marcondes;1124.81;35;335.08;14.15;88.57;4.17;512.06;16.01;57.01;0.53;115.21;5.72
3500907;Altair;979.59;74;329.05;19.16;72.2;7.07;542.99;29.04;54.94;0.45;104.66;7.04
3501004;Altinópolis;1110.99;79;407.45;18.97;94.18;11.35;392.66;42.65;54.32;0.76;145.67;20.6
3501103;Alto Alegre;1012.75;39;337.14;15.31;79.61;4.07;491.05;25.87;55.48;0.56;100.96;4.52
3501152;Alumínio;1615.32;172;372.35;27.37;105.24;10.98;484.75;19.87;54.44;0.75;212.28;35.15
3501202;Álvares Florence;880.99;34;325.02;20.72;73.65;5.84;551.3;26.85;56.06;0.52;102.11;4.68
3501301;Álvares Machado;1135;48;336.83;15.02;89.07;6.7;500.04;15.51;57.42;0.49;123;10.09
3501400;Álvaro de Carvalho;1311.28;94;351.43;11.43;103.18;12.34;461.58;14.31;55.39;0.6;154.7;14.24
3501509;Alvinlândia;1295.49;98;354.27;15.36;91;10.8;478.65;19.62;55.01;0.42;158.5;18.58
3501608;Americana;1171.94;50;430.17;24.53;88.82;6.69;426.34;27.46;53.69;0.81;140.04;23.53
3501707;Américo Brasiliense;1086.64;39;433.64;22.65;80.25;6.25;400.44;29.08;54.29;0.51;129.47;10.85
3501806;Américo de Campos;903.13;52;340.52;14.61;69.2;5.78;532.14;20.28;56.18;0.42;105.35;4.81
3501905;Amparo;1498.39;159;412.58;12.86;101.28;6.26;416.78;13.31;53.76;0.63;160.18;14.75
3502002;Analândia;1244.87;126;422.23;32.78;90.17;9.16;432.51;37.86;53.35;0.54;154.31;25.44
3502101;Andradina;987.66;45;269.92;18.63;88.31;10.22;580.17;27.76;56.59;0.51;95.79;11.9
3502200;Angatuba;1384.41;91;378.98;15.98;122.08;15.61;448.08;24.15;53.61;0.56;166.17;19.99
3502309;Anhembi;1203.65;61;419.91;25.27;98.93;12.83;412.42;28.97;54.02;0.83;144.64;16.98
3502408;Anhumas;1153.45;53;376.84;22.56;96.64;12.5;459.56;23.3;55.46;0.82;120.65;8.66
3502507;Aparecida;1458.58;252;413.54;19.96;121.25;9.04;440.56;12.51;52.09;0.62;166.97;23.12
3502606;Aparecida d'Oeste;979.33;34;282.06;9.98;85.45;6.12;583.86;18.84;57.39;0.39;98.84;10
3502705;Apiaí;1995.73;277;386.94;18.89;198.23;15.58;383.73;13.28;51.92;0.67;257.22;30.61
3502754;Araçariguama;1563.62;106;404.37;11.8;108.46;9.58;465.16;7.62;54.73;0.54;199.26;13.04
3502804;Araçatuba;996.65;40;313.59;20.73;87.08;8.84;513.97;25.73;56.71;0.75;109.37;17.87
3502903;Araçoiaba da Serra;1271.13;84;407.9;21.02;105.04;9.36;447.61;14.71;53.89;0.92;145.39;14.81
3503000;Aramina;918.04;56;385.73;24.09;84.26;14.51;469.82;30.38;54.74;0.5;128.72;12.43
3503109;Arandu;1322.93;58;373.79;12.93;111.22;9.38;436.85;16.63;54.49;0.98;158.17;20.66
3503158;Arapeí;1696.77;457;390.8;43.2;118.4;14.91;463.71;25.86;50.72;0.87;191.29;51.41
3503208;Araraquara;1090.09;50;439.77;24.96;85.48;12.12;398.51;30.83;54.13;0.53;130.35;11.09
3503307;Araras;1156.19;59;460.77;25.4;89.79;9.16;365.17;27.44;53.97;0.58;132.7;13.21
3503356;Arco-Íris;1044.2;44;331.25;12.54;86.04;5.16;482.1;17.99;56.07;0.64;107.54;6.76
3503406;Arealva;1072.34;41;346.69;21.5;92.84;7.22;482.05;28.79;54.8;0.72;119.49;9.63
3503505;Areias;1775.05;379;383.4;57.04;131.02;12.43;458.01;20.33;50.89;0.55;195.09;46.77
3503604;Areiópolis;1130.77;31;407.4;19.98;101.34;8.66;421.58;26.54;54.04;0.69;137.51;7.93
3503703;Ariranha;944.66;35;383.15;21.85;77.92;5.76;482.39;32.64;55.76;0.43;109.1;6.41
3503802;Artur Nogueira;1145.8;41;455.28;20.61;91.31;6.2;396.24;19.84;53.32;0.44;128.53;6.19
3503901;Arujá;1715.77;55;385.86;8.57;138;9.1;446.79;7.88;51.92;0.81;233.08;10.94
3503950;Aspásia;895.01;35;290.2;17.94;88.99;5.8;568.38;20.57;56.9;0.39;98.12;3.73
3504008;Assis;1154.82;57;374.29;35.68;107.81;12.94;445.63;51.02;54.69;0.62;136.64;12.97
3504107;Atibaia;1550.1;131;441.38;17.3;104.79;6.28;419.7;10.51;52.67;0.58;172.01;18.95
3504206;Auriflama;1009.54;49;304.85;18.58;82.72;4.73;543.81;27.1;57.38;0.45;101.15;5.85
3504305;Avaí;1122.96;56;337.78;19.05;91.78;8.54;487.44;21.35;55.08;0.6;128.7;9.19
3504404;Avanhandava;1008.51;38;315.01;18.95;86.35;5.63;511.9;21.52;55.26;0.57;104.49;6.77
3504503;Avaré;1348.62;104;366.35;19.03;107.05;12.54;450.41;26.61;53.96;0.66;157.09;19.53
3504602;Bady Bassitt;912.18;33;338.98;15.42;78.13;4.29;513.75;19.54;56.1;0.34;101.95;5.36
3504701;Balbinos;1035.38;34;352.67;15.25;83.01;4.97;475.14;25.03;54.44;0.48;110.94;7.03
3504800;Bálsamo;985.73;38;293.76;13.34;72.73;5.72;611.46;16.23;55.11;0.46;108.85;5.59
3504909;Bananal;1777.27;411;378.33;52.14;120.9;19.49;462.3;23.7;50.87;0.95;196.9;49.54
3505005;Barão de Antonina;1377.52;77;385.95;11.63;124.13;9;416.05;13.06;54.79;0.77;171.77;25.98
3505104;Barbosa;1006.87;48;301.46;13.59;88.77;5.34;509.25;23.57;56.47;0.79;117.01;29.71
3505203;Bariri;1063.67;36;399.32;26.34;92.83;8.65;434.79;33.49;54.88;0.74;121.04;15.01
3505302;Barra Bonita;1182.74;57;425.54;24.22;97.36;8;409.98;26.45;54.32;0.9;141.69;18.61
3505351;Barra do Chapéu;1784.12;127;393.94;18.29;206.31;12.81;378.92;13.49;51.97;0.67;245.27;22.4
3505401;Barra do Turvo;2437.37;280;437.35;24.31;190.75;16.6;284.77;22.45;50.97;0.56;309.11;42.64
3505500;Barretos;936.18;63;368.82;21.87;75.77;9.55;489.76;31.29;54.55;0.42;111.07;10.63
3505609;Barrinha;1042.99;68;417.18;24.7;93.52;10.26;384.94;25.57;55.93;0.56;125.15;8.99
3505708;Barueri;1578.23;157;383.08;15.48;114.01;10.68;459.03;11.66;53.58;0.82;210.19;28.05
3505807;Bastos;1067.94;35;326.99;11.92;78.22;5.58;508.48;23.14;55.63;0.59;108.56;5.45
3505906;Batatais;1067.36;66;402.8;21.15;86.39;13.85;406.12;29.42;54.21;0.56;158.36;17.82
3506003;Bauru;1109.28;53;346.67;22.43;89;7.74;495.84;24.08;54.83;0.73;129.09;8.76
3506102;Bebedouro;966.67;71;366.65;25.34;76.91;6.76;486.25;32.32;55.14;0.46;114.57;6.25
3506201;Bento de Abreu;1018.77;44;328.63;16.94;93.84;5.7;515.65;27.14;56.62;0.57;103.23;7.51
3506300;Bernardino de Campos;1319.62;75;400.04;14.85;99.75;9.24;420.71;14.1;54.11;0.47;156.3;23.75
3506359;Bertioga;2593.82;334;428.08;19.05;233.5;29.69;296.92;34.69;51.67;0.8;720.35;248.56
3506409;Bilac;1008.77;29;325.76;14.78;84.77;3.66;502.13;19.87;56.09;0.45;103.53;5.53
3506508;Birigui;1008.11;37;322.45;18.5;86.95;6.81;504.61;21.26;56.01;0.62;110.69;9.52
3506607;Biritiba Mirim;1870.8;135;409.59;20.49;168.73;19.12;356.32;26.44;50.58;0.55;283.64;42.05
3506706;Boa Esperança do Sul;1101.91;51;419.49;28.77;98.78;14.74;413.85;30.19;54.82;0.69;121.89;9.13
3506805;Bocaina;1110.64;48;414.92;21.87;95.56;12.65;417.41;24.87;54.34;0.67;125.79;10.52
3506904;Bofete;1367.9;139;396.69;21.18;113.69;13.78;427.3;23.73;53.36;0.6;165.29;25.07
3507001;Boituva;1265.11;63;389.39;16.83;99.77;8.04;444.89;18.64;53.43;0.53;135.69;7.87
3507100;Bom Jesus dos Perdões;1805.98;234;416.76;46.1;109.24;10.57;428.11;18.19;52.01;0.47;205.59;30.51
3507159;Bom Sucesso de Itararé;1894.57;124;350.28;10.5;182.93;23.22;394.34;9.88;51.9;0.4;226.63;19.25
3507209;Borá;1162.96;77;343.57;13.74;87.9;6.32;478.73;24.26;55.35;0.51;132.14;14.79
3507308;Boracéia;1072.94;38;385.04;22.92;91.89;10.06;445.14;35.38;54.95;0.99;132.48;21.4
3507407;Borborema;1004.4;37;360.92;20.51;85.52;6;470.13;21.33;55.51;0.55;107.63;12.46
3507456;Borebi;1222.98;73;363.57;14.45;108.1;15.34;463.88;19.9;54.4;0.63;149.91;16.74
3507506;Botucatu;1373.63;172;385.64;36.4;108.78;14.15;445.96;36.6;53.71;0.75;170.2;30.39
3507605;Bragança Paulista;1538.86;136;435.74;14.7;109.87;7.97;404.91;18.62;52.12;0.62;163.17;18.23
3507704;Braúna;1024.74;32;340.66;13.13;85.82;5.11;482.66;17.26;55.84;0.55;106.9;5.57
3507753;Brejo Alegre;1015.36;47;330.25;25.59;95.21;9.96;485.53;27.5;56.82;0.54;125.76;20.31
3507803;Brodowski;1142.56;53;405.66;19.86;94.97;10.89;361.41;32.07;55.1;1.1;171.46;36.88
3507902;Brotas;1162.15;85;438.87;22.77;94.91;12.75;416.04;28.17;53.6;0.57;140.75;18.05
3508009;Buri;1442.58;91;371.94;11.91;144.91;19.76;450.33;16.77;54.11;0.8;174.42;15.62
3508108;Buritama;1012.83;43;304.53;20.14;84.15;6.67;511.62;26.71;56.93;0.44;112.47;20.26
3508207;Buritizal;1034.87;109;362.66;14.56;67.3;14.82;501.82;24.3;54.27;0.63;151.59;11.99
3508306;Cabrália Paulista;1196.15;53;365.86;15;95.93;10.15;470.71;19.01;54.54;0.45;137.59;10.58
3508405;Cabreúva;1593.67;261;397.09;25.53;105.84;8.96;456.41;20.98;54.46;1.51;198.71;36.42
3508504;Caçapava;1460.84;171;429.3;15.06;121;11.13;409.17;14.27;53.24;0.63;174.77;24.41
3508603;Cachoeira Paulista;1324.98;145;400.04;21.18;123.42;9.14;466.43;35.63;50.9;0.77;145.45;14.4
3508702;Caconde;1321.35;131;435.27;25.27;102.75;6.51;351.43;22.45;52.76;0.68;159.29;23.41
3508801;Cafelândia;1042.18;49;347.58;21.01;81.42;5.59;480.49;27.58;54.69;0.6;111.28;13.94
3508900;Caiabu;1046.79;42;323.37;14.53;83.49;6.37;524.4;21.65;56.7;0.52;107.85;5.56
3509007;Caieiras;1640.83;180;412.79;21.53;109.1;9.52;445.91;14.04;54;0.8;201.75;16.52
3509106;Caiuá;1045.75;49;329.56;22.84;105.17;10.99;507.72;37.5;58.13;0.9;106.6;9.42
3509205;Cajamar;1564.19;86;412.58;13.4;110.6;8.81;452.53;10;54.76;0.72;200.02;10.15
3509254;Cajati;2147.64;342;402.35;24.87;206.66;12.27;354.36;51.07;50.99;0.51;306.15;56.57
3509304;Cajobi;967.44;55;352.14;18.22;82.1;9.18;525.76;20.96;54.73;0.35;112.81;6.54
3509403;Cajuru;1165.9;80;424.99;22.18;92.19;8.87;363.33;27.71;54.29;0.6;137.39;15.9
3509452;Campina do Monte Alegre;1385.83;85;371;10.37;125.99;19.07;461.26;12.72;53.96;0.61;160.37;20.22
3509502;Campinas;1254.85;113;400.37;15.76;90.45;8.09;447.25;25.06;53.51;0.62;146.75;13.65
3509601;Campo Limpo Paulista;1438.83;78;431.94;9.44;99.76;6.35;432.3;7.16;53.4;0.66;168.37;19.86
3509700;Campos do Jordão;2450.77;206;308.55;30.6;142.16;21.38;484.27;34.68;52.11;0.93;292.51;48.15
3509809;Campos Novos Paulista;1216.37;68;375.85;30.5;109.22;17.02;423.49;51.17;55.01;0.73;146.93;12.23
3509908;Cananéia;2531.42;317;399.22;49.52;211.13;29.75;289.83;82.62;49.7;0.71;402.59;103.71
3509957;Canas;1278.07;88;394.24;21.96;121.32;5.88;483.25;22.92;50.58;0.62;140.74;10.46
3510005;Cândido Mota;1305.86;116;452.39;25.78;145.36;13.33;336.39;31.47;55.82;0.99;150.51;15.3
3510104;Cândido Rodrigues;943.92;29;392.09;14.31;89.63;5.43;452.32;10.43;55.1;0.29;109.56;3.98
3510153;Canitar;1268.92;43;439.92;19.24;116.82;6.92;349.47;26.19;54.38;0.49;139.62;9.8
3510203;Capão Bonito;1644.66;200;376.48;15.9;173.56;15.42;438.56;19;52.5;2.27;220.11;39.38
3510302;Capela do Alto;1258.26;94;403.86;22.26;99.57;6.63;449.3;24.4;53.87;0.65;139.36;15.31
3510401;Capivari;1220.68;50;410.69;23.17;97.79;5.86;430.96;28.28;53.85;0.69;133.21;9.88
3510500;Caraguatatuba;2128.33;402;405.97;27.23;216.65;31.78;354.73;23.73;51.2;1.07;384.97;92.92
3510609;Carapicuíba;1635.36;107;403.93;7.88;115.38;10.07;449.54;10.6;53.14;0.45;201.69;6.29
3510708;Cardoso;887.2;48;332.38;19.24;76.14;6.33;535.42;21.38;56.66;0.49;108.79;19.54
3510807;Casa Branca;1083.13;55;412.55;18.49;87.92;10.25;419.14;23.89;53.79;0.45;126.11;10.51
3510906;Cássia dos Coqueiros;1200.15;76;365.51;28.9;83.87;7.59;429.21;39.38;53.58;0.45;140.97;14.1
3511003;Castilho;977.91;63;281.76;19.15;88.21;8.05;544.91;47.15;57.19;1.08;96.51;18.08
3511102;Catanduva;929.71;46;336.7;24;73.23;5.06;530.34;31.52;55.4;0.45;106.95;7.9
3511201;Catiguá;910.85;39;336.79;18.59;72.34;4.61;535.79;27.33;55.81;0.47;99.59;5.43
3511300;Cedral;927.25;42;321.46;23;72.4;5.21;556.9;39.51;55.74;0.63;104.43;4.63
3511409;Cerqueira César;1287.27;72;369.66;13.83;109.19;11.15;423.23;21.37;54.35;0.62;150.01;17.12
3511508;Cerquilho;1226.1;32;415.89;15.16;97.45;6.11;401.91;19.35;53.8;0.65;131.68;6.81
3511607;Cesário Lange;1242.06;57;425.61;16.06;100.02;5.17;400.47;15.49;53.33;0.6;133.48;8.58
3511706;Charqueada;1140.08;88;458.04;24.28;99.45;4.85;386.33;31.7;52.64;0.5;131.92;19.44
3511904;Clementina;1020.31;34;336.41;13.53;86.32;3.24;488.17;18.62;55.93;0.49;102.76;6.04
3512001;Colina;945.39;45;369.09;23.36;75.61;6.75;489.12;29.25;54.77;0.47;111.65;6.23
